Game Name,ROM SIZE (bytes),ROM SIZE (Mb)
Star Ocean (Japan),"6,291,456",48
Tales of Phantasia (Japan),"6,291,456",48
Daikaijuu Monogatari II (Japan),"5,242,880",40
Tengai Makyou Zero (Japan),"5,242,880",40
Tengai Makyou Zero (Japan) (Shounen Jump no Shou),"5,242,880",40
Ryuuko no Ken 2 (Japan),"4,194,304",32
Rudra no Hihou (Japan),"4,194,304",32
Super Donkey Kong 2 - Dixie & Diddy (Japan) (Rev 1),"4,194,304",32
Super Donkey Kong (Japan),"4,194,304",32
Super Donkey Kong 3 - Nazo no Kremis-tou (Japan),"4,194,304",32
Super Donkey Kong (Japan) (Rev 1),"4,194,304",32
Seiken Densetsu 3 (Japan) (Sample),"4,194,304",32
Doukyuusei 2 (Japan) (NP),"4,194,304",32
Seiken Densetsu 3 (Japan),"4,194,304",32
Wizardry I-II-III - Story of Llylgamyn (Japan) (EnJa) (NP),"4,194,304",32
Wizardry Gaiden IV - Taima no Kodou (Japan),"4,194,304",32
Wizardry Gaiden IV - Taima no Kodou (Japan) (Rev 1),"4,194,304",32
Super Fire Pro Wrestling Special (Japan) (Rev 1),"4,194,304",32
Super Fire Pro Wrestling Special (Japan),"4,194,304",32
Ken Griffey Jr.'s Winning Run (USA),"4,194,304",32
Super Fire Pro Wrestling X (Japan),"4,194,304",32
Super Fire Pro Wrestling X Premium (Japan),"4,194,304",32
Samurai Spirits (Japan),"4,194,304",32
Metal Max Returns (Japan),"4,194,304",32
Bakumatsu Kourinden Oni (Japan),"4,194,304",32
Samurai Spirits (Japan) (Beta),"4,194,304",32
Dragon Quest III - Soshite Densetsu e... (Japan),"4,194,304",32
Dragon Quest VI - Maboroshi no Daichi (Japan),"4,194,304",32
Garou Densetsu Special (Japan),"4,194,304",32
Killer Instinct (Europe),"4,194,304",32
Killer Instinct (USA) (Beta),"4,194,304",32
Super Black Bass 3 (Japan),"4,194,304",32
Donkey Kong Country 3 - Dixie Kong's Double Trouble! (USA) (EnFr),"4,194,304",32
Super Black Bass 3 (Japan) (Rev 1),"4,194,304",32
Killer Instinct (USA) (Rev 1),"4,194,304",32
Killer Instinct (USA),"4,194,304",32
Samurai Shodown (USA),"4,194,304",32
Dark Law - Meaning of Death (Japan),"4,194,304",32
Samurai Shodown (Europe),"4,194,304",32
Donkey Kong Country 3 - Dixie Kong's Double Trouble! (Europe) (EnFrDe),"4,194,304",32
Donkey Kong Country 2 - Diddy's Kong Quest (USA) (EnFr),"4,194,304",32
Donkey Kong Country 2 - Diddy's Kong Quest (USA) (EnFr) (Rev 1),"4,194,304",32
Chrono Trigger (Japan) (Sample),"4,194,304",32
Fire Emblem - Thracia 776 (Japan),"4,194,304",32
Kirby Super Star (USA),"4,194,304",32
Genjuu Ryodan (Japan) (NP),"4,194,304",32
Kirby's Dream Land 3 (USA),"4,194,304",32
Donkey Kong Country 2 - Diddy's Kong Quest (Germany) (EnDe),"4,194,304",32
Mini Yonku Shining Scorpion - Let's & Go!! (Japan),"4,194,304",32
Donkey Kong Country 2 - Diddy's Kong Quest (Germany) (EnDe) (Rev 1),"4,194,304",32
Donkey Kong Country 2 - Diddy's Kong Quest (Europe) (EnFr) (Rev 1),"4,194,304",32
Donkey Kong Country - Competition Cartridge (USA),"4,194,304",32
Donkey Kong Country (USA),"4,194,304",32
Kirby's Fun Pak (Europe),"4,194,304",32
Jikkyou Power Pro Wrestling '96 - Max Voltage (Japan),"4,194,304",32
Chrono Trigger (Japan),"4,194,304",32
Donkey Kong Country (USA) (Rev 2),"4,194,304",32
Donkey Kong Country (USA) (Rev 1),"4,194,304",32
Donkey Kong Country (Europe) (EnFrDe),"4,194,304",32
Donkey Kong Country (Europe) (EnFrDe) (Rev 1),"4,194,304",32
Chrono Trigger (USA),"4,194,304",32
Super Mario RPG (Japan),"4,194,304",32
Super Mario RPG - Legend of the Seven Stars (USA),"4,194,304",32
Clock Tower (Japan) (Beta),"4,194,304",32
Super Donkey Kong 2 - Dixie & Diddy (Japan),"4,194,304",32
Mortal Kombat 3 (Europe),"4,194,304",32
Itoi Shigesato no Bass Tsuri No. 1 (Japan),"4,194,304",32
Mortal Kombat 3 (USA) (Beta 1),"4,194,304",32
Mortal Kombat 3 (USA) (Beta 2),"4,194,304",32
Mortal Kombat 3 (Europe) (Beta),"4,194,304",32
Best Shot Pro Golf (Japan),"4,194,304",32
Romancing Sa-Ga 3 (Japan),"4,194,304",32
Romancing Sa-Ga 3 (Japan) (Sample),"4,194,304",32
Romancing Sa-Ga 3 (Japan) (Rev 1),"4,194,304",32
Exertainment Mountain Bike Rally + Speed Racer (USA),"4,194,304",32
Street Fighter Zero 2 (Japan),"4,194,304",32
Tenchi Souzou (Japan),"4,194,304",32
Fushigi no Dungeon 2 - Fuurai no Shiren (Japan) (Rev 1) (NP),"4,194,304",32
Fushigi no Dungeon 2 - Fuurai no Shiren (Japan),"4,194,304",32
Hoshi no Kirby Super Deluxe (Japan),"4,194,304",32
Mortal Kombat 3 (USA),"4,194,304",32
Hoshi no Kirby Super Deluxe (Japan) (Rev 2),"4,194,304",32
Fire Emblem - Thracia 776 (Japan) (Rev 1) (NP),"4,194,304",32
Street Fighter Alpha 2 (USA),"4,194,304",32
Hoshi no Kirby Super Deluxe (Japan) (Rev 1),"4,194,304",32
Street Fighter Alpha 2 (Europe),"4,194,304",32
Hoshi no Kirby 3 (Japan),"4,194,304",32
Super Donkey Kong 3 - Nazo no Kremis-tou (Japan) (Rev 1),"4,194,304",32
Fire Emblem - Thracia 776 (Japan) (NP),"4,194,304",32
Terranigma (Spain),"4,194,304",32
Ultimate Mortal Kombat 3 (USA),"4,194,304",32
Fire Emblem - Seisen no Keifu (Japan),"4,194,304",32
Ultimate Mortal Kombat 3 (Europe),"4,194,304",32
Famicom Bunko - Hajimari no Mori (Japan) (NP),"4,194,304",32
Contra IV - The Alien Wars (USA) (Beta),"4,194,304",32
Fatal Fury Special (USA),"4,194,304",32
Tokimeki Memorial - Densetsu no Ki no Shita de (Japan) (Rev 1),"4,194,304",32
Rockman & Forte (Japan),"4,194,304",32
Stable Star - Kyuusha Monogatari (Japan),"4,194,304",32
Tokimeki Memorial - Densetsu no Ki no Shita de (Japan),"4,194,304",32
Mystic Ark (Japan),"4,194,304",32
Lennus II - Fuuin no Shito (Japan),"4,194,304",32
Toy Story (Europe) (EnFrDe),"4,194,304",32
Tsukikomori (Japan),"4,194,304",32
Tsukikomori (Japan) (Rev 1) (NP),"4,194,304",32
Super Street Fighter II (Europe),"4,194,304",32
Super Street Fighter II (USA),"4,194,304",32
Super Street Fighter II - The New Challengers (Japan),"4,194,304",32
Rise of the Robots (USA),"4,194,304",32
Rise of the Robots (USA) (Beta),"4,194,304",32
Terranigma (Germany),"4,194,304",32
Terranigma (Germany) (Rev 1),"4,194,304",32
Terranigma (France),"4,194,304",32
Rise of the Robots (Japan) (En),"4,194,304",32
Rise of the Robots (Europe),"4,194,304",32
Traverse - Starlight & Prairie (Japan),"4,194,304",32
Toy Story (USA),"4,194,304",32
Terranigma (Europe),"4,194,304",32
Toy Story (Japan),"4,194,304",32
Metal Slader Glory - Director's Cut (Japan) (NP),"3,145,728",24
Jikkyou World Soccer 2 - Fighting Eleven (Japan),"3,145,728",24
NFL Quarterback Club '95 (Japan) (En),"3,145,728",24
Sutte Hakkun (Japan),"3,145,728",24
Gakkou de Atta Kowai Hanashi (Japan),"3,145,728",24
Dai-4-ji Super Robot Taisen (Japan),"3,145,728",24
Solid Runner (Japan),"3,145,728",24
Super Variable Geo (Japan),"3,145,728",24
NBA Jikkyou Basket - Winning Dunk (Japan),"3,145,728",24
Mahoujin Guruguru 2 (Japan),"3,145,728",24
Fire Emblem - Monshou no Nazo (Japan),"3,145,728",24
NBA Jam - Tournament Edition (USA),"3,145,728",24
NBA Jam - Tournament Edition (USA) (Beta),"3,145,728",24
Fire Emblem - Monshou no Nazo (Japan) (Rev 1),"3,145,728",24
NBA Jam - Tournament Edition (Japan) (En),"3,145,728",24
Final Fight Tough (Japan),"3,145,728",24
Final Fight 3 (USA),"3,145,728",24
Final Fight 3 (USA) (Beta),"3,145,728",24
Touge Densetsu - Saisoku Battle (Japan) (Beta),"3,145,728",24
Touge Densetsu - Saisoku Battle (Japan),"3,145,728",24
Akagawa Jirou - Majotachi no Nemuri (Japan) (Rev 1) (NP),"3,145,728",24
Majin Tensei II - Spiral Nemesis (Japan),"3,145,728",24
Soul Blade (World) (Unl) (Pirate),"3,145,728",24
Lufia (Spain),"3,145,728",24
Final Fight 3 (Europe),"3,145,728",24
Akagawa Jirou - Majotachi no Nemuri (Japan),"3,145,728",24
Sound Novel Tsukuru (Japan),"3,145,728",24
Treasure Hunter G (Japan),"3,145,728",24
Gouketsuji Ichizoku (Japan),"3,145,728",24
Lufia (Netherlands),"3,145,728",24
Lufia (Germany),"3,145,728",24
Lion King The (USA),"3,145,728",24
Lion King The (USA) (Beta 3),"3,145,728",24
Primal Rage (Europe),"3,145,728",24
Final Fantasy VI (Japan),"3,145,728",24
NBA Jam - Tournament Edition (Europe),"3,145,728",24
Daikaijuu Monogatari (Japan) (Rev 1),"3,145,728",24
Final Fantasy III (USA),"3,145,728",24
Heisei Shin Onigashima - Kouhen (Japan),"3,145,728",24
Heisei Shin Onigashima - Zenpen (Japan),"3,145,728",24
Lion King The (USA) (Beta 2),"3,145,728",24
Zero 4 Champ RR-Z (Japan),"3,145,728",24
Lion King The (Japan),"3,145,728",24
Final Fantasy III (USA) (Rev 1),"3,145,728",24
Lion King The (Europe),"3,145,728",24
Marvelous - Mouhitotsu no Takara-jima (Japan),"3,145,728",24
Final Fantasy III (USA) (Beta),"3,145,728",24
Daikaijuu Monogatari (Japan),"3,145,728",24
Derby Stallion 96 (Japan),"3,145,728",24
NBA Hang Time (USA),"3,145,728",24
NBA Hang Time (Europe),"3,145,728",24
Fighter's History - Mizoguchi Kikiippatsu!! (Japan),"3,145,728",24
Zen-Nihon Pro Wres 2 - 3-4 Budoukan (Japan),"3,145,728",24
Primal Rage (USA) (Beta),"3,145,728",24
Heiwa Pachinko World 3 (Japan),"3,145,728",24
Muscle Bomber - The Body Explosion (Japan),"3,145,728",24
Hi no Ouji - Yamato Takeru (Japan),"3,145,728",24
NFL Quarterback Club (USA) (Beta),"3,145,728",24
NFL Quarterback Club (USA),"3,145,728",24
Derby Stallion 98 (Japan) (NP),"3,145,728",24
Bushi Seiryuuden - Futari no Yuusha (Japan),"3,145,728",24
Last Bible III (Japan),"3,145,728",24
Brandish 2 - Expert (Japan),"3,145,728",24
Todd McFarlane's Spawn - The Video Game (USA),"3,145,728",24
Derby Stallion III (Japan) (Rev 1),"3,145,728",24
Fatal Fury Special (Europe),"3,145,728",24
Fatal Fury Special (Europe) (Beta),"3,145,728",24
Todd McFarlane's Spawn - The Video Game (Japan) (En) (Putative Proto),"3,145,728",24
Todd McFarlane's Spawn - The Video Game (Europe),"3,145,728",24
NFL Quarterback Club 96 (Europe),"3,145,728",24
Derby Stallion III (Japan) (Rev 2),"3,145,728",24
Nobunaga no Yabou - Tenshouki (Japan),"3,145,728",24
Farland Story 2 (Japan),"3,145,728",24
NFL Quarterback Club 96 (Japan) (En),"3,145,728",24
Mother 2 - Gyiyg no Gyakushuu (Japan),"3,145,728",24
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo (Japan) (Rev 1) (NP),"3,145,728",24
Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo (Japan) (NP),"3,145,728",24
Mortal Kombat II - Kyuukyoku Shinken (Japan) (En),"3,145,728",24
Batman Forever (USA),"3,145,728",24
Tactics Ogre - Let Us Cling Together (Japan) (Rev 1),"3,145,728",24
Mortal Kombat II (USA),"3,145,728",24
Derby Stallion III (Japan) (Rev 3),"3,145,728",24
Derby Stallion III (Japan),"3,145,728",24
Mortal Kombat II (USA) (Rev 1),"3,145,728",24
College Slam (USA),"3,145,728",24
Mortal Kombat II (Europe),"3,145,728",24
Clock Tower (Japan),"3,145,728",24
Kyle Petty's No Fear Racing (USA),"3,145,728",24
Romance of the Three Kingdoms IV - Wall of Fire (USA),"3,145,728",24
Mortal Kombat II (Europe) (Rev 1),"3,145,728",24
Batman Forever (Japan) (En),"3,145,728",24
Yu Yu Hakusho Final - Makai Saikyou Retsuden (Japan),"3,145,728",24
G.O.D - Mezame yo to Yobu Koe ga Kikoe (Japan),"3,145,728",24
Super Robot Taisen Gaiden - Masou Kishin - The Lord of Elemental (Japan),"3,145,728",24
Ys V - Ushinawareta Suna no Miyako Kefin (Japan),"3,145,728",24
Ys V - Expert (Japan),"3,145,728",24
Street Hockey '95 (USA) (Beta),"3,145,728",24
Maten Densetsu - Senritsu no Ooparts (Japan),"3,145,728",24
Matsumura Kunihiro Den - Saikyou no Rekishi o Nurikaero! (Japan),"3,145,728",24
Battle Robot Retsuden (Japan),"3,145,728",24
Clay Fighter 2 - Judgment Clay (USA),"3,145,728",24
Tactics Ogre - Let Us Cling Together (Japan) (Rev 2),"3,145,728",24
Street Sports - Street Hockey '95 (USA),"3,145,728",24
Maui Mallard in Cold Shadow (USA),"3,145,728",24
Clay Fighter 2 - Judgment Clay (Europe),"3,145,728",24
Clay Fighter - Tournament Edition (USA),"3,145,728",24
Foreman for Real (Europe),"3,145,728",24
Foreman for Real (Japan) (En),"3,145,728",24
Brandish 2 - The Planet Buster (Japan),"3,145,728",24
Batman Forever (Europe),"3,145,728",24
Dark Half (Japan),"3,145,728",24
Energy Breaker (Japan),"3,145,728",24
Emit Vol. 3 - Watashi ni Sayonara o (Japan),"3,145,728",24
Emit Vol. 2 - Inochigake no Tabi (Japan),"3,145,728",24
Emit Vol. 1 - Toki no Maigo (Japan),"3,145,728",24
Venom - Spider-Man - Separation Anxiety (Europe),"3,145,728",24
Venom - Spider-Man - Separation Anxiety (USA),"3,145,728",24
Foreman for Real (USA),"3,145,728",24
Shinseiki Odysselya II (Japan),"3,145,728",24
Dai-4-ji Super Robot Taisen (Japan) (Rev 1),"3,145,728",24
Frank Thomas Big Hurt Baseball (Europe),"3,145,728",24
Battle Tycoon - Flash Hiders SFX (Japan) (Rev 1),"3,145,728",24
Donald Duck no Maui Mallard (Japan),"3,145,728",24
Frank Thomas Big Hurt Baseball (Japan) (En),"3,145,728",24
Super Metroid (Japan USA) (EnJa),"3,145,728",24
Super Metroid (Europe) (EnFrDe),"3,145,728",24
Angelique - Voice Fantasy (Japan),"3,145,728",24
Donald in Maui Mallard (Europe),"3,145,728",24
Earthworm Jim 2 (USA),"3,145,728",24
Earthworm Jim 2 (USA) (Beta),"3,145,728",24
Bounty Sword (Japan),"3,145,728",24
WWF Raw (Europe),"3,145,728",24
WWF Raw (USA),"3,145,728",24
Frank Thomas Big Hurt Baseball (USA),"3,145,728",24
Tactics Ogre - Let Us Cling Together (Japan),"3,145,728",24
Breath of Fire II (Europe),"3,145,728",24
Shin Nihon Pro Wrestling Kounin - '95 Tokyo Dome Battle 7 (Japan),"3,145,728",24
Earthworm Jim 2 (Europe),"3,145,728",24
Earthworm Jim (USA),"3,145,728",24
Earthworm Jim (Japan),"3,145,728",24
WWF WrestleMania - The Arcade Game (Europe),"3,145,728",24
WWF WrestleMania - The Arcade Game (Japan) (En),"3,145,728",24
WWF WrestleMania - The Arcade Game (USA),"3,145,728",24
Jikkyou Oshaberi Parodius (Japan),"3,145,728",24
Earthworm Jim (Europe),"3,145,728",24
Earthworm Jim (Europe) (GamesMaster Special Edition),"3,145,728",24
EarthBound (USA),"3,145,728",24
Primal Rage (USA),"3,145,728",24
Earth Light - Luna Strike (Japan),"3,145,728",24
NFL Quarterback Club 96 (USA) (Beta),"3,145,728",24
Breath of Fire II (USA) (Beta),"3,145,728",24
Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan) (Rev 1),"3,145,728",24
Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban (Japan),"3,145,728",24
NFL Quarterback Club 96 (USA),"3,145,728",24
Momotarou Dentetsu Happy (Japan),"3,145,728",24
Jikkyou Powerful Pro Yakyuu - Basic Ban '98 (Japan),"3,145,728",24
Getsumen no Anubis (Japan),"3,145,728",24
Take Yutaka GI Memory (Japan),"3,145,728",24
Breath of Fire II (USA),"3,145,728",24
Teitoku no Ketsudan II (Japan),"3,145,728",24
Milandra (Japan),"3,145,728",24
Saikyou - Takada Nobuhiko (Japan),"3,145,728",24
Jikkyou Powerful Pro Yakyuu 3 (Japan),"3,145,728",24
Jikkyou Powerful Pro Yakyuu 3 - '97 Haru (Japan) (Rev 1),"3,145,728",24
Jikkyou Powerful Pro Yakyuu 3 - '97 Haru (Japan),"3,145,728",24
Jikkyou World Soccer 2 - Fighting Eleven (Japan) (Beta),"3,145,728",24
WeaponLord (Europe),"3,145,728",24
WeaponLord (USA),"3,145,728",24
King of Fighters 2000 (Brazil) (Unl) (Pirate),"3,145,728",24
Jikkyou World Soccer 2 - Fighting Eleven (Japan) (Rev 1) (NP),"3,145,728",24
NFL Quarterback Club (Europe),"3,145,728",24
Battle Tycoon - Flash Hiders SFX (Japan),"3,145,728",24
Teitoku no Ketsudan II (Japan) (Rev 1),"3,145,728",24
Boogerman - A Pick and Flick Adventure (Europe),"3,145,728",24
Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan) (Rev 1),"3,145,728",24
Boogerman - A Pick and Flick Adventure (USA),"3,145,728",24
Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan) (Rev 2),"3,145,728",24
World Heroes 2 (USA),"3,145,728",24
World Heroes 2 (USA) (Beta),"3,145,728",24
Ganpuru - Gunman's Proof (Japan),"3,145,728",24
World Heroes 2 (Japan),"3,145,728",24
P.T.O. II - Pacific Theater of Operations (USA),"3,145,728",24
Dragon Knight 4 (Japan),"3,145,728",24
Kidou Senshi Z Gundam - Away to the Newtype (Japan),"3,145,728",24
Chou Mahou Tairiku Wozz (Japan),"3,145,728",24
Bahamut Lagoon (Japan),"3,145,728",24
Sangokushi Eiketsuden (Japan),"3,145,728",24
Sangokushi IV (Japan) (Rev 1),"3,145,728",24
Sangokushi IV (Japan),"3,145,728",24
Saturday Night Slam Masters (Europe),"3,145,728",24
Saturday Night Slam Masters (USA),"3,145,728",24
Secret of Evermore (Europe),"3,145,728",24
Secret of Evermore (France),"3,145,728",24
Secret of Evermore (Germany),"3,145,728",24
Secret of Evermore (Spain),"3,145,728",24
Secret of Evermore (USA),"3,145,728",24
Gakkou de Atta Kowai Hanashi (Japan) (Rev 1) (NP),"3,145,728",24
Winning Post 2 (Japan),"3,145,728",24
Winning Post 2 - Program '96 (Japan) (Rev 1),"3,145,728",24
Winning Post 2 - Program '96 (Japan),"3,145,728",24
Pinocchio (Europe),"3,145,728",24
Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan),"3,145,728",24
Ganpuru - Gunman's Proof (Japan) (Beta),"3,145,728",24
Super Fire Pro Wrestling - Queen's Special (Japan),"3,145,728",24
Bishoujo Senshi Sailor Moon - Another Story (Japan),"3,145,728",24
Dragon Ball Z - Hyper Dimension (Japan),"3,145,728",24
Kamaitachi no Yoru (Japan),"3,145,728",24
Pinocchio (Japan),"3,145,728",24
Pinocchio (USA),"3,145,728",24
Dragon Ball Z - Hyper Dimension (France),"3,145,728",24
From TV Animation Slam Dunk 2 - IH Yosen Kanzen Ban!! (Japan),"3,145,728",24
Wizardry VI - Kindan no Mahitsu (Japan),"3,145,728",24
Front Mission (Japan) (Rev 1),"3,145,728",24
Front Mission (Japan),"3,145,728",24
Bounty Sword (Japan) (Beta),"3,145,728",24
Bishoujo Senshi Sailor Moon SuperS - Zenin Sanka!! Shuyaku Soudatsusen (Japan),"3,145,728",24
Front Mission Series - Gun Hazard (Japan),"3,145,728",24
Double Dragon V - The Shadow Falls (USA),"3,145,728",24
Wonder Project J - Kikai no Shounen Pino (Japan),"3,145,728",24
Ranma 1-2 - Chougi Ranbu Hen (Japan),"2,621,440",20
Zootto Mahjong! (Japan) (Rev 1) (NP),"2,621,440",20
Zootto Mahjong! (Japan) (NP),"2,621,440",20
Lufia II - Rise of the Sinistrals (USA),"2,621,440",20
Parlor! Parlor! 3 (Japan),"2,621,440",20
Lufia (Europe),"2,621,440",20
Lodoss-tou Senki (Japan),"2,621,440",20
Lady Stalker - Kako kara no Chousen (Japan),"2,621,440",20
Stardust Suplex (Japan),"2,621,440",20
Street Fighter II Turbo (Europe) (Rev 1),"2,621,440",20
Street Fighter II Turbo (Europe),"2,621,440",20
Street Fighter II Turbo (Japan),"2,621,440",20
Street Fighter II Turbo (USA) (Rev 1),"2,621,440",20
Street Fighter II Turbo (USA),"2,621,440",20
Shin Star Trek - Ooinaru Isan IFD no Nazo o Oe (Japan),"2,621,440",20
Shin Nihon Pro Wrestling Kounin - '94 Battlefield in Tokyo Dome (Japan),"2,621,440",20
Breath of Fire II - Shimei no Ko (Japan) (Rev 1),"2,621,440",20
Bishoujo Wrestler Retsuden - Blizzard Yuki Rannyuu!! (Japan),"2,621,440",20
King Arthur & The Knights of Justice (USA),"2,621,440",20
Chaos Seed - Fuusui Kairouki (Japan),"2,621,440",20
Kat's Run - Zen-Nihon K-Car Senshuken (Japan),"2,621,440",20
Justice League Task Force (USA),"2,621,440",20
Justice League Task Force (USA) (Beta),"2,621,440",20
Natsuki Crisis Battle (Japan),"2,621,440",20
Justice League Task Force (Japan) (En),"2,621,440",20
Justice League Task Force (Europe),"2,621,440",20
Bishoujo Senshi Sailor Moon S - Jougai Rantou! Shuyaku Soudatsusen (Japan),"2,621,440",20
Seijuu Maden Beasts & Blades (Japan),"2,621,440",20
Super Famista 5 (Japan),"2,621,440",20
Breath of Fire II - Shimei no Ko (Japan),"2,621,440",20
Garou Densetsu 2 - Aratanaru Tatakai (Japan) (Rev 1),"2,621,440",20
Garou Densetsu 2 - Aratanaru Tatakai (Japan),"2,621,440",20
Ossu!! Karate-bu (Japan),"2,621,440",20
Dual Orb II (Japan),"2,621,440",20
Gekitou Burning Pro Wres (Japan),"2,621,440",20
Jikkyou Powerful Pro Yakyuu 2 (Japan),"2,621,440",20
Jikkyou Powerful Pro Yakyuu 2 (Japan) (Rev 2),"2,621,440",20
Jikkyou Powerful Pro Yakyuu 2 (Japan) (Rev 1),"2,621,440",20
Monstania (Japan),"2,621,440",20
Arabian Nights - Sabaku no Seirei Ou (Japan),"2,621,440",20
Arabian Nights - Sabaku no Seirei Ou (Japan) (Beta),"2,621,440",20
Super Mario All-Stars + Super Mario World (USA),"2,621,440",20
Super Mario All-Stars and Super Mario World (Europe),"2,621,440",20
JB The Super Bass (Japan),"2,621,440",20
J.League '96 Dream Stadium (Japan),"2,621,440",20
Verne World (Japan),"2,621,440",20
Estpolis Denki II (Japan),"2,621,440",20
Ruin Arm (Japan),"2,621,440",20
Super Power League 3 (Japan),"2,621,440",20
Holy Umbrella - Dondera no Mubou!! (Japan),"2,621,440",20
Hokuto no Ken 7 - Seiken Retsuden Denshousha e no Michi (Japan),"2,621,440",20
Fatal Fury 2 (Europe),"2,621,440",20
