Investment Name,Symbol,Shares,Share Price,Total Value
3M COMPANY,MMM,1.075,143.04,153.76799999999997
ABBOTT LABORATORIES,ABT,1.0,103.99,103.99
ACADIA REALTY TRUST ,AKR,10.0,18.77,187.7
ACCENTURE PLC IRELAND CL A,ACN,1.0,192.6,192.6
ACM RESEARCH INC CL A,ACMR,1.0,40.07,40.07
ADECOAGRO S A,AGRO,25.0,14.05,351.25
ADMA BIOLOGICS INC ACCD INVS,ADMA,6.0,9.25,55.5
ADVANCE AUTO PARTS INC,AAP,2.028,51.57,104.58396
ADVANCED MICRO DEVICES INC,AMD,2.0,201.99,403.98
ADVISORSHARES PURE U S CANNABIS ETF,MSOS,65.0,3.28,213.2
AECOM,ACM,1.0,85.46,85.46
AERCAP HOLDINGS N V,AER,1.0,133.38,133.38
AEROVIRONMENT INC,AVAV,1.0,184.43,184.43
AERSALE CORP,ASLE,4.0,6.15,24.6
AGILENT TECHNOLOGIES INC,A,1.0,110.24,110.24
AGILON HEALTH INC,AGL,100.0,0.3962,39.62
AGREE REALTY CORP ,ADC,3.02,74.41,224.7182
AKAMAI TECHNOLOGIES INC,AKAM,1.0,114.5,114.5
ALCOA CORP,AA,2.017,58.41,117.81296999999999
ALEXANDERS INC ,ALX,1.0,236.1,236.1
ALEXANDRIA REAL ESTATE  EQUITIES INC,ARE,4.427,46.04,203.81907999999999
ALGONQUIN POWER & UTILITIES CORP,AQN,5.138,6.15,31.5987
ALIBABA GROUP HOLDING LTD SPONS ADS REPSTG 8 ORD SHS,BABA,1.0,122.69,122.69
ALLIANT ENERGY CORP,LNT,1.024,70.52,72.21248
ALLY FINANCIAL INC,ALLY,1.023,37.79,38.659169999999996
ALPHABET INC CL C,GOOG,2.018,273.76,552.4476799999999
ALPINE INCOME PROPERTY  TRUST INC,PINE,11.0,17.96,197.56
AMAZON.COM INC,AMZN,1.0,199.34,199.34
AMC ENTERTAINMENT HOLDINGS INC CL A,AMC,100.0,0.9482,94.82000000000001
AMC NETWORKS INC CL A,AMCX,5.0,6.52,32.599999999999994
AMCOR PLC,AMCR,3.048,38.62,117.71376
AMER SPORTS INC,AS,6.0,31.43,188.57999999999998
